R3,87.28,12.09,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,90.80,12.09,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,18.72,65.09,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,21.64,63.09,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,13.56,97.09,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,22.59,39.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,40.22,58.17,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,107.91,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.95,107.93,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.95,108.18,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,67.34,9.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.95,108.18,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,84.93,16.25,0.00,,SJ
TP1,2.10,39.17,0.00,TPTP20R,TP20R
TP10,1.61,96.56,0.00,TPTP20R,TP20R
TP11,166.00,65.17,0.00,TPTP20R,TP20R
TP12,166.00,68.17,0.00,TPTP20R,TP20R
TP13,1.71,24.55,0.00,TPTP20R,TP20R
TP14,1.74,21.38,0.00,TPTP20R,TP20R
TP15,70.86,1.20,0.00,TPTP20R,TP20R
TP16,1.20,71.97,0.00,TPTP20R,TP20R
TP17,1.20,74.85,0.00,TPTP20R,TP20R
TP2,1.20,63.17,0.00,TPTP20R,TP20R
TP3,1.22,66.25,0.00,TPTP20R,TP20R
TP4,166.00,62.25,0.00,TPTP20R,TP20R
TP5,2.06,36.25,0.00,TPTP20R,TP20R
TP6,1.98,33.25,0.00,TPTP20R,TP20R
TP7,1.20,69.25,0.00,TPTP20R,TP20R
TP8,1.82,30.25,0.00,TPTP20R,TP20R
TP9,1.74,27.25,0.00,TPTP20R,TP20R
U1,17.72,51.72,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,144.10,9.88,0.00,MAX17048G+T10,SON50P200X200X80-9N
U3,43.42,53.02,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U4,83.68,52.56,270.00,DS3231SN#,SOIC127P1032X265-16N
